data,data_ref,ano,mes,taxa_string,taxa
2007-05-01,2007-05,2007,5,"36,171244","36,171244"
2007-06-01,2007-06,2007,6,"36,265289","36,265289"
2007-07-01,2007-07,2007,7,"36,377711","36,377711"
2007-08-01,2007-08,2007,8,"36,494119","36,494119"
2007-09-01,2007-09,2007,9,"36,709434","36,709434"
2007-10-01,2007-10,2007,10,"36,801207","36,801207"
2007-11-01,2007-11,2007,11,"36,911610","36,91161"
2007-12-01,2007-12,2007,12,"37,070329","37,070329"
2008-01-01,2008-01,2008,1,"37,429911","37,429911"
2008-02-01,2008-02,2008,2,"37,688177","37,688177"
2008-03-01,2008-03,2008,3,"37,869080","37,86908"
2008-04-01,2008-04,2008,4,"38,062212","38,062212"
2008-05-01,2008-05,2008,5,"38,305810","38,30581"
2008-06-01,2008-06,2008,6,"38,673545","38,673545"
2008-07-01,2008-07,2008,7,"39,025474","39,025474"
2008-08-01,2008-08,2008,8,"39,251821","39,251821"
2008-09-01,2008-09,2008,9,"39,334249","39,334249"
2008-10-01,2008-10,2008,10,"39,393250","39,39325"
2008-11-01,2008-11,2008,11,"39,590216","39,590216"
2008-12-01,2008-12,2008,12,"39,740658","39,740658"
2009-01-01,2009-01,2009,1,"39,855905","39,855905"
2009-02-01,2009-02,2009,2,"40,110982","40,110982"
2009-03-01,2009-03,2009,3,"40,235326","40,235326"
2009-04-01,2009-04,2009,4,"40,315796","40,315796"
2009-05-01,2009-05,2009,5,"40,537532","40,537532"
2009-06-01,2009-06,2009,6,"40,780757","40,780757"
2009-07-01,2009-07,2009,7,"40,952036","40,952036"
2009-08-01,2009-08,2009,8,"41,046225","41,046225"
2009-09-01,2009-09,2009,9,"41,079061","41,079061"
2009-10-01,2009-10,2009,10,"41,144787","41,144787"
2009-11-01,2009-11,2009,11,"41,243534","41,243534"
2009-12-01,2009-12,2009,12,"41,396135","41,396135"
2010-01-01,2010-01,2010,1,"41,495485","41,495485"
2010-02-01,2010-02,2010,2,"41,860645","41,860645"
2010-03-01,2010-03,2010,3,"42,153669","42,153669"
2010-04-01,2010-04,2010,4,"42,452960","42,45296"
2010-05-01,2010-05,2010,5,"42,762866","42,762866"
2010-06-01,2010-06,2010,6,"42,946746","42,946746"
2010-07-01,2010-07,2010,7,"42,899504","42,899504"
2010-08-01,2010-08,2010,8,"42,869474","42,869474"
2010-09-01,2010-09,2010,9,"42,839465","42,839465"
2010-10-01,2010-10,2010,10,"43,070798","43,070798"
2010-11-01,2010-11,2010,11,"43,467049","43,467049"
2010-12-01,2010-12,2010,12,"43,914759","43,914759"
2011-01-01,2011-01,2011,1,"44,178247","44,178247"
2011-02-01,2011-02,2011,2,"44,593522","44,593522"
2011-03-01,2011-03,2011,3,"44,834327","44,834327"
2011-04-01,2011-04,2011,4,"45,130233","45,130233"
2011-05-01,2011-05,2011,5,"45,455170","45,45517"
2011-06-01,2011-06,2011,6,"45,714264","45,714264"
2011-07-01,2011-07,2011,7,"45,814835","45,814835"
2011-08-01,2011-08,2011,8,"45,814835","45,814835"
2011-09-01,2011-09,2011,9,"46,007257","46,007257"
2011-10-01,2011-10,2011,10,"46,214289","46,214289"
2011-11-01,2011-11,2011,11,"46,362174","46,362174"
2011-12-01,2011-12,2011,12,"46,626438","46,626438"
2012-01-01,2012-01,2012,1,"46,864232","46,864232"
2012-02-01,2012-02,2012,2,"47,103239","47,103239"
2012-03-01,2012-03,2012,3,"47,286941","47,286941"
2012-04-01,2012-04,2012,4,"47,372057","47,372057"
2012-05-01,2012-05,2012,5,"47,675238","47,675238"
2012-06-01,2012-06,2012,6,"47,937451","47,937451"
2012-07-01,2012-07,2012,7,"48,062088","48,062088"
2012-08-01,2012-08,2012,8,"48,268754","48,268754"
2012-09-01,2012-09,2012,9,"48,485963","48,485963"
2012-10-01,2012-10,2012,10,"48,791424","48,791424"
2012-11-01,2012-11,2012,11,"49,137843","49,137843"
2012-12-01,2012-12,2012,12,"49,403187","49,403187"
2013-01-01,2013-01,2013,1,"49,768770","49,76877"
2013-02-01,2013-02,2013,2,"50,226642","50,226642"
2013-03-01,2013-03,2013,3,"50,487820","50,48782"
2013-04-01,2013-04,2013,4,"50,790746","50,790746"
2013-05-01,2013-05,2013,5,"51,090411","51,090411"
2013-06-01,2013-06,2013,6,"51,269227","51,269227"
2013-07-01,2013-07,2013,7,"51,412780","51,41278"
2013-08-01,2013-08,2013,8,"51,345943","51,345943"
2013-09-01,2013-09,2013,9,"51,428096","51,428096"
2013-10-01,2013-10,2013,10,"51,566951","51,566951"
2013-11-01,2013-11,2013,11,"51,881509","51,881509"
2013-12-01,2013-12,2013,12,"52,161669","52,161669"
2014-01-01,2014-01,2014,1,"52,537233","52,537233"
2014-02-01,2014-02,2014,2,"52,868217","52,868217"
2014-03-01,2014-03,2014,3,"53,206573","53,206573"
2014-04-01,2014-04,2014,4,"53,642866","53,642866"
2014-05-01,2014-05,2014,5,"54,061280","54,06128"
2014-06-01,2014-06,2014,6,"54,385647","54,385647"
2014-07-01,2014-07,2014,7,"54,527049","54,527049"
2014-08-01,2014-08,2014,8,"54,597934","54,597934"
2014-09-01,2014-09,2014,9,"54,696210","54,69621"
2014-10-01,2014-10,2014,10,"54,964221","54,964221"
2014-11-01,2014-11,2014,11,"55,173085","55,173085"
2014-12-01,2014-12,2014,12,"55,465502","55,465502"
2015-01-01,2015-01,2015,1,"55,809388","55,809388"
2015-02-01,2015-02,2015,2,"56,635366","56,635366"
2015-03-01,2015-03,2015,3,"57,292336","57,292336"
2015-04-01,2015-04,2015,4,"58,157450","58,15745"
2015-05-01,2015-05,2015,5,"58,570367","58,570367"
2015-06-01,2015-06,2015,6,"59,150213","59,150213"
2015-07-01,2015-07,2015,7,"59,605669","59,605669"
2015-08-01,2015-08,2015,8,"59,951381","59,951381"
2015-09-01,2015-09,2015,9,"60,101259","60,101259"
2015-10-01,2015-10,2015,10,"60,407775","60,407775"
2015-11-01,2015-11,2015,11,"60,872914","60,872914"
2015-12-01,2015-12,2015,12,"61,548603","61,548603"
2016-01-01,2016-01,2016,1,"62,102540","62,10254"
2016-02-01,2016-02,2016,2,"63,040288","63,040288"
2016-03-01,2016-03,2016,3,"63,639170","63,63917"
2016-04-01,2016-04,2016,4,"63,919182","63,919182"
2016-05-01,2016-05,2016,5,"64,328264","64,328264"
2016-06-01,2016-06,2016,6,"64,958680","64,95868"
2016-07-01,2016-07,2016,7,"65,263985","65,263985"
2016-08-01,2016-08,2016,8,"65,681674","65,681674"
2016-09-01,2016-09,2016,9,"65,885287","65,885287"
2016-10-01,2016-10,2016,10,"65,937995","65,937995"
2016-11-01,2016-11,2016,11,"66,050089","66,050089"
2016-12-01,2016-12,2016,12,"66,096324","66,096324"
2017-01-01,2017-01,2017,1,"66,188858","66,188858"
2017-02-01,2017-02,2017,2,"66,466851","66,466851"
2017-03-01,2017-03,2017,3,"66,626371","66,626371"
2017-04-01,2017-04,2017,4,"66,839575","66,839575"
2017-05-01,2017-05,2017,5,"66,893046","66,893046"
2017-06-01,2017-06,2017,6,"67,133860","67,13386"
2017-07-01,2017-07,2017,7,"66,932458","66,932458"
2017-08-01,2017-08,2017,8,"67,046243","67,046243"
2017-09-01,2017-09,2017,9,"67,026129","67,026129"
2017-10-01,2017-10,2017,10,"67,012723","67,012723"
2017-11-01,2017-11,2017,11,"67,260670","67,26067"
2017-12-01,2017-12,2017,12,"67,381739","67,381739"
2018-01-01,2018-01,2018,1,"67,556931","67,556931"
2018-02-01,2018-02,2018,2,"67,712311","67,712311"
2018-03-01,2018-03,2018,3,"67,834193","67,834193"
2018-04-01,2018-04,2018,4,"67,881676","67,881676"
2018-05-01,2018-05,2018,5,"68,024227","68,024227"
2018-06-01,2018-06,2018,6,"68,316731","68,316731"
2018-07-01,2018-07,2018,7,"69,293660","69,29366"
2018-08-01,2018-08,2018,8,"69,466894","69,466894"
2018-09-01,2018-09,2018,9,"69,466894","69,466894"
2018-10-01,2018-10,2018,10,"69,675294","69,675294"
2018-11-01,2018-11,2018,11,"69,953995","69,953995"
2018-12-01,2018-12,2018,12,"69,779110","69,77911"
2019-01-01,2019-01,2019,1,"69,876800","69,8768"
2019-02-01,2019-02,2019,2,"70,128356","70,128356"
2019-03-01,2019-03,2019,3,"70,507049","70,507049"
2019-04-01,2019-04,2019,4,"71,049953","71,049953"
2019-05-01,2019-05,2019,5,"71,476252","71,476252"
2019-06-01,2019-06,2019,6,"71,583466","71,583466"
2019-07-01,2019-07,2019,7,"71,590624","71,590624"
2019-08-01,2019-08,2019,8,"71,662214","71,662214"
2019-09-01,2019-09,2019,9,"71,748208","71,748208"
2019-10-01,2019-10,2019,10,"71,712333","71,712333"
2019-11-01,2019-11,2019,11,"71,741017","71,741017"
2019-12-01,2019-12,2019,12,"72,128418","72,128418"
2020-01-01,2020-01,2020,1,"73,008384","73,008384"
2020-02-01,2020-02,2020,2,"73,147099","73,147099"
2020-03-01,2020-03,2020,3,"73,271449","73,271449"
2020-04-01,2020-04,2020,4,"73,403337","73,403337"
2020-05-01,2020-05,2020,5,"73,234509","73,234509"
2020-06-01,2020-06,2020,6,"73,051422","73,051422"
2020-07-01,2020-07,2020,7,"73,270576","73,270576"
2020-08-01,2020-08,2020,8,"73,592966","73,592966"
2020-09-01,2020-09,2020,9,"73,857900","73,8579"
2020-10-01,2020-10,2020,10,"74,500463","74,500463"
2020-11-01,2020-11,2020,11,"75,163517","75,163517"
2020-12-01,2020-12,2020,12,"75,877570","75,87757"
2021-01-01,2021-01,2021,1,"76,985382","76,985382"
2021-02-01,2021-02,2021,2,"77,193242","77,193242"
2021-03-01,2021-03,2021,3,"77,826226","77,826226"
2021-04-01,2021-04,2021,4,"78,495531","78,495531"
2021-05-01,2021-05,2021,5,"78,793814","78,793814"
2021-06-01,2021-06,2021,6,"79,550234","79,550234"
2021-07-01,2021-07,2021,7,"80,027535","80,027535"
2021-08-01,2021-08,2021,8,"80,843815","80,843815"
2021-09-01,2021-09,2021,9,"81,555240","81,55524"
2021-10-01,2021-10,2021,10,"82,533902","82,533902"
2021-11-01,2021-11,2021,11,"83,491295","83,491295"
2021-12-01,2021-12,2021,12,"84,192621","84,192621"
2022-01-01,2022-01,2022,1,"84,807227","84,807227"
